name,age,position,club,market_value,profile_url,matches,goals,assists,yellow_cards,second_yellows,red_cards,minutes_played,goals_conceded,clean_sheets,competition_stats
Wouter Goes,Wouter Goes,Wouter GoesCentre-Back,Unknown club,€5.00m,https://www.transfermarkt.com/wouter-goes/profil/spieler/646707,Centre-Back,20,,,€5.00m,10,0,0,1,{}
Leopold Querfeld,Leopold Querfeld,Leopold QuerfeldCentre-Back,Unknown club,€5.00m,https://www.transfermarkt.com/leopold-querfeld/profil/spieler/597432,Centre-Back,20,,,€5.00m,10,0,0,0,{}
Pascal Loretz,Pascal Loretz,Pascal LoretzGoalkeeper,Unknown club,€5.00m,https://www.transfermarkt.com/pascal-loretz/profil/spieler/583038,Goalkeeper,21,,,€5.00m,16,0,0,0,{}
Vasco Sousa,Vasco Sousa,Vasco SousaAttacking Midfield,Unknown club,€5.00m,https://www.transfermarkt.com/vasco-sousa/profil/spieler/575716,Attacking Midfield,21,,,€5.00m,8,0,0,1,{}
Youri Regeer,Youri Regeer,Youri RegeerCentral Midfield,Unknown club,€5.00m,https://www.transfermarkt.com/youri-regeer/profil/spieler/559324,Central Midfield,21,,,€5.00m,18,0,0,3,{}
Bashir Humphreys,Bashir Humphreys,Bashir HumphreysCentre-Back,Unknown club,€4.80m,https://www.transfermarkt.com/bashir-humphreys/profil/spieler/612517,Centre-Back,21,,,€4.80m,10,0,0,0,{}
Giovanni Leoni,Giovanni Leoni,Giovanni LeoniCentre-Back,Unknown club,€4.50m,https://www.transfermarkt.com/giovanni-leoni/profil/spieler/1086619,Centre-Back,17,,,€4.50m,4,0,0,0,{}
Alisson,Alisson,AlissonRight Winger,Unknown club,€4.50m,https://www.transfermarkt.com/alisson/profil/spieler/1083070,Right Winger,19,,,€4.50m,0,0,0,0,{}
Deniz Gül,Deniz Gül,Deniz GülCentre-Forward,Unknown club,€4.50m,https://www.transfermarkt.com/deniz-gul/profil/spieler/1063292,Centre-Forward,20,,,€4.50m,6,2,0,0,{}
Yasin Özcan,Yasin Özcan,Yasin ÖzcanCentre-Back,Unknown club,€4.50m,https://www.transfermarkt.com/yasin-ozcan/profil/spieler/1043003,Centre-Back,18,,,€4.50m,12,0,0,0,{}
Baltasar Rodríguez,Baltasar Rodríguez,Baltasar RodríguezAttacking Midfield,Unknown club,€4.50m,https://www.transfermarkt.com/baltasar-rodriguez/profil/spieler/1015246,Attacking Midfield,21,,,€4.50m,0,0,0,0,{}
Tobías Ramírez,Tobías Ramírez,Tobías RamírezCentre-Back,Unknown club,€4.50m,https://www.transfermarkt.com/tobias-ramirez/profil/spieler/1000684,Centre-Back,18,,,€4.50m,4,0,0,0,{}
Julián Fernández,Julián Fernández,Julián FernándezRight Winger,Unknown club,€4.50m,https://www.transfermarkt.com/julian-fernandez/profil/spieler/984053,Right Winger,20,,,€4.50m,0,0,0,0,{}
Rafiu Durosinmi,Rafiu Durosinmi,Rafiu DurosinmiCentre-Forward,Unknown club,€4.50m,https://www.transfermarkt.com/rafiu-durosinmi/profil/spieler/935760,Centre-Forward,21,,,€4.50m,0,0,0,0,{}
Krisztián Lisztes,Krisztián Lisztes,Krisztián LisztesAttacking Midfield,Unknown club,€4.50m,https://www.transfermarkt.com/krisztian-lisztes/profil/spieler/933217,Attacking Midfield,19,,,€4.50m,4,0,0,1,{}
Antonio Raimondo,Antonio Raimondo,Antonio RaimondoCentre-Forward,Unknown club,€4.50m,https://www.transfermarkt.com/antonio-raimondo/profil/spieler/818888,Centre-Forward,20,,,€4.50m,8,0,0,0,{}
Paxten Aaronson,Paxten Aaronson,Paxten AaronsonAttacking Midfield,Unknown club,€4.50m,https://www.transfermarkt.com/paxten-aaronson/profil/spieler/795738,Attacking Midfield,21,,,€4.50m,13,4,0,1,{}
Viktor Djukanovic,Viktor Djukanovic,Viktor DjukanovicLeft Winger,Unknown club,€4.50m,https://www.transfermarkt.com/viktor-djukanovic/profil/spieler/760493,Left Winger,20,,,€4.50m,5,0,0,0,{}
Cristian Volpato,Cristian Volpato,Cristian VolpatoAttacking Midfield,Unknown club,€4.50m,https://www.transfermarkt.com/cristian-volpato/profil/spieler/746891,Attacking Midfield,20,,,€4.50m,8,2,0,1,{}
Kyriani Sabbe,Kyriani Sabbe,Kyriani SabbeRight-Back,Unknown club,€4.50m,https://www.transfermarkt.com/kyriani-sabbe/profil/spieler/743122,Right-Back,19,,,€4.50m,11,1,0,0,{}
Brooke Norton-Cuffy,Brooke Norton-Cuffy,Brooke Norton-CuffyRight-Back,Unknown club,€4.50m,https://www.transfermarkt.com/brooke-norton-cuffy/profil/spieler/728733,Right-Back,20,,,€4.50m,3,0,0,0,{}
Finn van Breemen,Finn van Breemen,Finn van BreemenCentre-Back,Unknown club,€4.50m,https://www.transfermarkt.com/finn-van-breemen/profil/spieler/705016,Centre-Back,21,,,€4.50m,6,0,0,1,{}
Jordan James,Jordan James,Jordan JamesCentral Midfield,Unknown club,€4.50m,https://www.transfermarkt.com/jordan-james/profil/spieler/667517,Central Midfield,20,,,€4.50m,6,0,0,0,{}
Yasin Ayari,Yasin Ayari,Yasin AyariCentral Midfield,Unknown club,€4.50m,https://www.transfermarkt.com/yasin-ayari/profil/spieler/667287,Central Midfield,21,,,€4.50m,15,1,0,0,{}
Roko Simic,Roko Simic,Roko SimicCentre-Forward,Unknown club,€4.50m,https://www.transfermarkt.com/roko-simic/profil/spieler/658693,Centre-Forward,21,,,€4.50m,4,0,0,0,{}
Juan Larios,Juan Larios,Juan LariosLeft-Back,Unknown club,€4.50m,https://www.transfermarkt.com/juan-larios/profil/spieler/646738,Left-Back,20,,,€4.50m,5,0,0,0,{}
Filippo Terracciano,Filippo Terracciano,Filippo TerraccianoRight-Back,Unknown club,€4.50m,https://www.transfermarkt.com/filippo-terracciano/profil/spieler/631007,Right-Back,21,,,€4.50m,4,0,0,0,{}
Kacper Kozlowski,Kacper Kozlowski,Kacper KozlowskiCentral Midfield,Unknown club,€4.50m,https://www.transfermarkt.com/kacper-kozlowski/profil/spieler/554284,Central Midfield,21,,,€4.50m,9,1,0,3,{}
Matías Moreno,Matías Moreno,Matías MorenoCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/matias-moreno/profil/spieler/1144700,Centre-Back,21,,,€4.00m,3,0,0,0,{}
Anton Matkovic,Anton Matkovic,Anton MatkovicCentre-Forward,Unknown club,€4.00m,https://www.transfermarkt.com/anton-matkovic/profil/spieler/1121427,Centre-Forward,18,,,€4.00m,12,2,0,1,{}
Enso González,Enso González,Enso GonzálezLeft Winger,Unknown club,€4.00m,https://www.transfermarkt.com/enso-gonzalez/profil/spieler/1060740,Left Winger,19,,,€4.00m,0,0,0,0,{}
Niko Sigur,Niko Sigur,Niko SigurDefensive Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/niko-sigur/profil/spieler/1045375,Defensive Midfield,21,,,€4.00m,13,2,0,0,{}
Mahamadou Doumbia,Mahamadou Doumbia,Mahamadou DoumbiaCentral Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/mahamadou-doumbia/profil/spieler/1033919,Central Midfield,20,,,€4.00m,11,1,0,0,{}
Ngal'ayel Mukau,Ngal'ayel Mukau,Ngal'ayel MukauDefensive Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/ngalayel-mukau/profil/spieler/1016015,Defensive Midfield,20,,,€4.00m,13,0,0,0,{}
Giovane,Giovane,GiovaneCentre-Forward,Unknown club,€4.00m,https://www.transfermarkt.com/giovane/profil/spieler/1005165,Centre-Forward,20,,,€4.00m,0,0,0,0,{}
Benja Cremaschi,Benja Cremaschi,Benja CremaschiCentral Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/benja-cremaschi/profil/spieler/999127,Central Midfield,19,,,€4.00m,1,2,0,0,{}
Cristian Shpendi,Cristian Shpendi,Cristian ShpendiCentre-Forward,Unknown club,€4.00m,https://www.transfermarkt.com/cristian-shpendi/profil/spieler/908760,Centre-Forward,21,,,€4.00m,15,10,0,0,{}
Reuell Walters,Reuell Walters,Reuell WaltersRight-Back,Unknown club,€4.00m,https://www.transfermarkt.com/reuell-walters/profil/spieler/878160,Right-Back,19,,,€4.00m,10,0,0,0,{}
Alan Matturro,Alan Matturro,Alan MatturroCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/alan-matturro/profil/spieler/861981,Centre-Back,20,,,€4.00m,7,0,0,0,{}
Mihajlo Ilic,Mihajlo Ilic,Mihajlo IlicCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/mihajlo-ilic/profil/spieler/845566,Centre-Back,21,,,€4.00m,8,2,0,0,{}
Marc Pubill,Marc Pubill,Marc PubillRight-Back,Unknown club,€4.00m,https://www.transfermarkt.com/marc-pubill/profil/spieler/844637,Right-Back,21,,,€4.00m,10,0,0,0,{}
Facundo González,Facundo González,Facundo GonzálezCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/facundo-gonzalez/profil/spieler/825199,Centre-Back,21,,,€4.00m,4,0,0,0,{}
Tim Drexler,Tim Drexler,Tim DrexlerCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/tim-drexler/profil/spieler/822958,Centre-Back,19,,,€4.00m,15,0,0,0,{}
Ayman Kari,Ayman Kari,Ayman KariCentral Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/ayman-kari/profil/spieler/810093,Central Midfield,19,,,€4.00m,0,0,0,0,{}
Hendry Blank,Hendry Blank,Hendry BlankCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/hendry-blank/profil/spieler/804831,Centre-Back,20,,,€4.00m,10,0,0,1,{}
Quinn Sullivan,Quinn Sullivan,Quinn SullivanCentre-Forward,Unknown club,€4.00m,https://www.transfermarkt.com/quinn-sullivan/profil/spieler/795232,Centre-Forward,20,,,€4.00m,0,0,0,0,{}
Benjamin Tahirovic,Benjamin Tahirovic,Benjamin TahirovicDefensive Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/benjamin-tahirovic/profil/spieler/787907,Defensive Midfield,21,,,€4.00m,7,0,0,1,{}
Pietro Comuzzo,Pietro Comuzzo,Pietro ComuzzoCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/pietro-comuzzo/profil/spieler/746712,Centre-Back,19,,,€4.00m,15,0,0,0,{}
Arijon Ibrahimovic,Arijon Ibrahimovic,Arijon IbrahimovicLeft Winger,Unknown club,€4.00m,https://www.transfermarkt.com/arijon-ibrahimovic/profil/spieler/744728,Left Winger,18,,,€4.00m,5,2,0,0,{}
Biro,Biro,BiroRight Winger,Unknown club,€4.00m,https://www.transfermarkt.com/biro/profil/spieler/743590,Right Winger,20,,,€4.00m,6,2,0,0,{}
Jorne Spileers,Jorne Spileers,Jorne SpileersCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/jorne-spileers/profil/spieler/743381,Centre-Back,19,,,€4.00m,10,1,0,0,{}
Jhon Solís,Jhon Solís,Jhon SolísCentral Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/jhon-solis/profil/spieler/742521,Central Midfield,20,,,€4.00m,8,0,0,0,{}
Álex Jiménez,Álex Jiménez,Álex JiménezRight-Back,Unknown club,€4.00m,https://www.transfermarkt.com/alex-jimenez/profil/spieler/741257,Right-Back,19,,,€4.00m,12,4,0,0,{}
Nino Marcelli,Nino Marcelli,Nino MarcelliLeft Winger,Unknown club,€4.00m,https://www.transfermarkt.com/nino-marcelli/profil/spieler/726661,Left Winger,19,,,€4.00m,29,4,0,5,{}
Nazar Voloshyn,Nazar Voloshyn,Nazar VoloshynLeft Winger,Unknown club,€4.00m,https://www.transfermarkt.com/nazar-voloshyn/profil/spieler/726034,Left Winger,21,,,€4.00m,19,1,0,5,{}
Jack McGlynn,Jack McGlynn,Jack McGlynnCentral Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/jack-mcglynn/profil/spieler/724547,Central Midfield,21,,,€4.00m,0,0,0,0,{}
Brian Gutiérrez,Brian Gutiérrez,Brian GutiérrezAttacking Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/brian-gutierrez/profil/spieler/724443,Attacking Midfield,21,,,€4.00m,0,0,0,0,{}
Luca Lipani,Luca Lipani,Luca LipaniDefensive Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/luca-lipani/profil/spieler/724106,Defensive Midfield,19,,,€4.00m,11,1,0,1,{}
Samed Bazdar,Samed Bazdar,Samed BazdarCentre-Forward,Unknown club,€4.00m,https://www.transfermarkt.com/samed-bazdar/profil/spieler/710969,Centre-Forward,20,,,€4.00m,13,4,0,3,{}
Bryan González,Bryan González,Bryan GonzálezLeft-Back,Unknown club,€4.00m,https://www.transfermarkt.com/bryan-gonzalez/profil/spieler/704556,Left-Back,21,,,€4.00m,16,0,0,1,{}
Keke Topp,Keke Topp,Keke ToppCentre-Forward,Unknown club,€4.00m,https://www.transfermarkt.com/keke-topp/profil/spieler/701757,Centre-Forward,20,,,€4.00m,11,4,0,1,{}
Abu Kamara,Abu Kamara,Abu KamaraRight Winger,Unknown club,€4.00m,https://www.transfermarkt.com/abu-kamara/profil/spieler/696764,Right Winger,21,,,€4.00m,10,1,0,2,{}
Tim Oermann,Tim Oermann,Tim OermannCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/tim-oermann/profil/spieler/696164,Centre-Back,21,,,€4.00m,7,0,0,0,{}
Tom Cannon,Tom Cannon,Tom CannonCentre-Forward,Unknown club,€4.00m,https://www.transfermarkt.com/tom-cannon/profil/spieler/669366,Centre-Forward,21,,,€4.00m,13,7,0,1,{}
Hugo Bolin,Hugo Bolin,Hugo BolinLeft Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/hugo-bolin/profil/spieler/667251,Left Midfield,21,,,€4.00m,11,2,0,0,{}
Gabriel Slonina,Gabriel Slonina,Gabriel SloninaGoalkeeper,Unknown club,€4.00m,https://www.transfermarkt.com/gabriel-slonina/profil/spieler/656316,Goalkeeper,20,,,€4.00m,14,0,0,0,{}
Emin Bayram,Emin Bayram,Emin BayramCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/emin-bayram/profil/spieler/655902,Centre-Back,21,,,€4.00m,8,1,0,0,{}
Abdoullah Ba,Abdoullah Ba,Abdoullah BaRight Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/abdoullah-ba/profil/spieler/654412,Right Midfield,21,,,€4.00m,3,1,0,0,{}
Cher Ndour,Cher Ndour,Cher NdourCentral Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/cher-ndour/profil/spieler/651005,Central Midfield,20,,,€4.00m,13,0,0,2,{}
Rav van den Berg,Rav van den Berg,Rav van den BergCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/rav-van-den-berg/profil/spieler/640556,Centre-Back,20,,,€4.00m,8,0,0,0,{}
Calvin Ramsay,Calvin Ramsay,Calvin RamsayRight-Back,Unknown club,€4.00m,https://www.transfermarkt.com/calvin-ramsay/profil/spieler/633652,Right-Back,21,,,€4.00m,10,0,0,0,{}
Raúl Moro,Raúl Moro,Raúl MoroLeft Winger,Unknown club,€4.00m,https://www.transfermarkt.com/raul-moro/profil/spieler/624942,Left Winger,21,,,€4.00m,13,3,0,1,{}
Jesús Vázquez,Jesús Vázquez,Jesús VázquezLeft-Back,Unknown club,€4.00m,https://www.transfermarkt.com/jesus-vazquez/profil/spieler/623024,Left-Back,21,,,€4.00m,8,0,0,0,{}
Jonas Urbig,Jonas Urbig,Jonas UrbigGoalkeeper,Unknown club,€4.00m,https://www.transfermarkt.com/jonas-urbig/profil/spieler/607720,Goalkeeper,21,,,€4.00m,11,0,0,0,{}
Samuel Dahl,Samuel Dahl,Samuel DahlLeft-Back,Unknown club,€4.00m,https://www.transfermarkt.com/samuel-dahl/profil/spieler/605396,Left-Back,21,,,€4.00m,3,0,0,0,{}
Stipe Biuk,Stipe Biuk,Stipe BiukLeft Winger,Unknown club,€4.00m,https://www.transfermarkt.com/stipe-biuk/profil/spieler/587520,Left Winger,21,,,€4.00m,10,1,0,1,{}
Alvyn Sanches,Alvyn Sanches,Alvyn SanchesCentral Midfield,Unknown club,€4.00m,https://www.transfermarkt.com/alvyn-sanches/profil/spieler/583058,Central Midfield,21,,,€4.00m,16,7,0,1,{}
Mattia Zanotti,Mattia Zanotti,Mattia ZanottiRight-Back,Unknown club,€4.00m,https://www.transfermarkt.com/mattia-zanotti/profil/spieler/582353,Right-Back,21,,,€4.00m,14,1,0,3,{}
Albian Hajdari,Albian Hajdari,Albian HajdariCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/albian-hajdari/profil/spieler/579459,Centre-Back,21,,,€4.00m,14,0,0,0,{}
Josh Wilson-Esbrand,Josh Wilson-Esbrand,Josh Wilson-EsbrandLeft-Back,Unknown club,€4.00m,https://www.transfermarkt.com/josh-wilson-esbrand/profil/spieler/576121,Left-Back,21,,,€4.00m,3,0,0,1,{}
Armindo Sieb,Armindo Sieb,Armindo SiebSecond Striker,Unknown club,€4.00m,https://www.transfermarkt.com/armindo-sieb/profil/spieler/569033,Second Striker,21,,,€4.00m,12,2,0,0,{}
Nathan Ngoy,Nathan Ngoy,Nathan NgoyCentre-Back,Unknown club,€4.00m,https://www.transfermarkt.com/nathan-ngoy/profil/spieler/548254,Centre-Back,21,,,€4.00m,4,0,0,0,{}
Franjo Ivanovic,Franjo Ivanovic,Franjo IvanovicCentre-Forward,Unknown club,€4.00m,https://www.transfermarkt.com/franjo-ivanovic/profil/spieler/548028,Centre-Forward,21,,,€4.00m,22,6,0,4,{}
Ronnie Edwards,Ronnie Edwards,Ronnie EdwardsCentre-Back,Unknown club,€3.80m,https://www.transfermarkt.com/ronnie-edwards/profil/spieler/732165,Centre-Back,21,,,€3.80m,3,0,1,0,{}
Gerónimo Rivera,Gerónimo Rivera,Gerónimo RiveraLeft Winger,Unknown club,€3.50m,https://www.transfermarkt.com/geronimo-rivera/profil/spieler/1146094,Left Winger,21,,,€3.50m,0,0,0,0,{}
Yunus Emre Konak,Yunus Emre Konak,Yunus Emre KonakDefensive Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/yunus-emre-konak/profil/spieler/1141628,Defensive Midfield,18,,,€3.50m,6,0,0,0,{}
Christopher Bonsu Baah,Christopher Bonsu Baah,Christopher Bonsu BaahLeft Winger,Unknown club,€3.50m,https://www.transfermarkt.com/christopher-bonsu-baah/profil/spieler/1119447,Left Winger,19,,,€3.50m,15,2,0,3,{}
Thiago Helguera,Thiago Helguera,Thiago HelgueraDefensive Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/thiago-helguera/profil/spieler/997827,Defensive Midfield,18,,,€3.50m,7,0,0,1,{}
Joaquin Seys,Joaquin Seys,Joaquin SeysLeft-Back,Unknown club,€3.50m,https://www.transfermarkt.com/joaquin-seys/profil/spieler/981196,Left-Back,19,,,€3.50m,18,2,0,0,{}
Óscar Cortés,Óscar Cortés,Óscar CortésLeft Winger,Unknown club,€3.50m,https://www.transfermarkt.com/oscar-cortes/profil/spieler/975689,Left Winger,20,,,€3.50m,3,0,0,0,{}
Álvaro Rodríguez,Álvaro Rodríguez,Álvaro RodríguezCentre-Forward,Unknown club,€3.50m,https://www.transfermarkt.com/alvaro-rodriguez/profil/spieler/948275,Centre-Forward,20,,,€3.50m,6,0,0,0,{}
Anderson Duarte,Anderson Duarte,Anderson DuarteRight Winger,Unknown club,€3.50m,https://www.transfermarkt.com/anderson-duarte/profil/spieler/928648,Right Winger,20,,,€3.50m,7,1,0,0,{}
Matías Abaldo,Matías Abaldo,Matías AbaldoRight Winger,Unknown club,€3.50m,https://www.transfermarkt.com/matias-abaldo/profil/spieler/928647,Right Winger,20,,,€3.50m,0,0,0,0,{}
Cuiabano,Cuiabano,CuiabanoLeft-Back,Unknown club,€3.50m,https://www.transfermarkt.com/cuiabano/profil/spieler/891353,Left-Back,21,,,€3.50m,0,0,0,0,{}
Obed Vargas,Obed Vargas,Obed VargasCentral Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/obed-vargas/profil/spieler/889435,Central Midfield,19,,,€3.50m,3,0,0,0,{}
Kevin Zeroli,Kevin Zeroli,Kevin ZeroliCentral Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/kevin-zeroli/profil/spieler/883349,Central Midfield,19,,,€3.50m,18,1,0,0,{}
Nicolás Romero,Nicolás Romero,Nicolás RomeroCentre-Back,Unknown club,€3.50m,https://www.transfermarkt.com/nicolas-romero/profil/spieler/863144,Centre-Back,20,,,€3.50m,0,0,0,0,{}
Nasser Djiga,Nasser Djiga,Nasser DjigaCentre-Back,Unknown club,€3.50m,https://www.transfermarkt.com/nasser-djiga/profil/spieler/862297,Centre-Back,21,,,€3.50m,19,1,0,0,{}
Metinho,Metinho,MetinhoCentral Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/metinho/profil/spieler/859396,Central Midfield,21,,,€3.50m,10,0,0,0,{}
Tom Bischof,Tom Bischof,Tom BischofCentral Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/tom-bischof/profil/spieler/822959,Central Midfield,19,,,€3.50m,15,1,0,2,{}
Arthur Piedfort,Arthur Piedfort,Arthur PiedfortDefensive Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/arthur-piedfort/profil/spieler/775981,Defensive Midfield,19,,,€3.50m,14,0,0,0,{}
Charlie Hughes,Charlie Hughes,Charlie HughesCentre-Back,Unknown club,€3.50m,https://www.transfermarkt.com/charlie-hughes/profil/spieler/746357,Centre-Back,21,,,€3.50m,8,0,0,1,{}
Brahim Traoré,Brahim Traoré,Brahim TraoréCentre-Back,Unknown club,€3.50m,https://www.transfermarkt.com/brahim-traore/profil/spieler/743517,Centre-Back,20,,,€3.50m,9,0,0,1,{}
Cihan Çanak,Cihan Çanak,Cihan ÇanakRight Winger,Unknown club,€3.50m,https://www.transfermarkt.com/cihan-canak/profil/spieler/743376,Right Winger,19,,,€3.50m,14,1,0,0,{}
Mario Mitaj,Mario Mitaj,Mario MitajLeft-Back,Unknown club,€3.50m,https://www.transfermarkt.com/mario-mitaj/profil/spieler/726114,Left-Back,21,,,€3.50m,16,1,0,2,{}
Dor Turgeman,Dor Turgeman,Dor TurgemanCentre-Forward,Unknown club,€3.50m,https://www.transfermarkt.com/dor-turgeman/profil/spieler/703460,Centre-Forward,21,,,€3.50m,14,8,0,4,{}
Jay Stansfield,Jay Stansfield,Jay StansfieldCentre-Forward,Unknown club,€3.50m,https://www.transfermarkt.com/jay-stansfield/profil/spieler/696346,Centre-Forward,21,,,€3.50m,13,8,0,1,{}
Dário Essugo,Dário Essugo,Dário EssugoDefensive Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/dario-essugo/profil/spieler/670717,Defensive Midfield,19,,,€3.50m,10,0,0,0,{}
Leon Avdullahu,Leon Avdullahu,Leon AvdullahuDefensive Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/leon-avdullahu/profil/spieler/667457,Defensive Midfield,20,,,€3.50m,14,1,0,0,{}
Julián Aude,Julián Aude,Julián AudeLeft-Back,Unknown club,€3.50m,https://www.transfermarkt.com/julian-aude/profil/spieler/661128,Left-Back,21,,,€3.50m,0,0,0,0,{}
Serdar Saatçı,Serdar Saatçı,Serdar SaatçıCentre-Back,Unknown club,€3.50m,https://www.transfermarkt.com/serdar-saatci/profil/spieler/655899,Centre-Back,21,,,€3.50m,4,0,0,0,{}
Matteo Dams,Matteo Dams,Matteo DamsCentre-Back,Unknown club,€3.50m,https://www.transfermarkt.com/matteo-dams/profil/spieler/654918,Centre-Back,20,,,€3.50m,18,0,0,0,{}
Alan Virginius,Alan Virginius,Alan VirginiusLeft Winger,Unknown club,€3.50m,https://www.transfermarkt.com/alan-virginius/profil/spieler/654415,Left Winger,21,,,€3.50m,15,6,0,0,{}
Samuele Vignato,Samuele Vignato,Samuele VignatoAttacking Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/samuele-vignato/profil/spieler/650966,Attacking Midfield,20,,,€3.50m,6,0,0,0,{}
Myron van Brederode,Myron van Brederode,Myron van BrederodeLeft Winger,Unknown club,€3.50m,https://www.transfermarkt.com/myron-van-brederode/profil/spieler/650712,Left Winger,21,,,€3.50m,11,1,0,1,{}
Shola Shoretire,Shola Shoretire,Shola ShoretireRight Winger,Unknown club,€3.50m,https://www.transfermarkt.com/shola-shoretire/profil/spieler/640026,Right Winger,20,,,€3.50m,9,1,0,0,{}
Tobias Gulliksen,Tobias Gulliksen,Tobias GulliksenRight Winger,Unknown club,€3.50m,https://www.transfermarkt.com/tobias-gulliksen/profil/spieler/619657,Right Winger,21,,,€3.50m,9,1,0,1,{}
William Bøving,William Bøving,William BøvingLeft Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/william-boving/profil/spieler/610400,Left Midfield,21,,,€3.50m,19,1,0,5,{}
Gabriel Vidovic,Gabriel Vidovic,Gabriel VidovicLeft Winger,Unknown club,€3.50m,https://www.transfermarkt.com/gabriel-vidovic/profil/spieler/604327,Left Winger,20,,,€3.50m,2,0,0,0,{}
Ísak Jóhannesson,Ísak Jóhannesson,Ísak JóhannessonCentral Midfield,Unknown club,€3.50m,https://www.transfermarkt.com/isak-johannesson/profil/spieler/579565,Central Midfield,21,,,€3.50m,15,2,0,4,{}
Jerónimo Dómina,Jerónimo Dómina,Jerónimo DóminaCentre-Forward,Unknown club,€3.20m,https://www.transfermarkt.com/jeronimo-domina/profil/spieler/1103986,Centre-Forward,19,,,€3.20m,0,0,0,0,{}
Micah Hamilton,Micah Hamilton,Micah HamiltonLeft Winger,Unknown club,€3.20m,https://www.transfermarkt.com/micah-hamilton/profil/spieler/652797,Left Winger,21,,,€3.20m,13,0,0,0,{}
Taha Altıkardeş,Taha Altıkardeş,Taha AltıkardeşCentre-Back,Unknown club,€3.10m,https://www.transfermarkt.com/taha-altikardes/profil/spieler/745233,Centre-Back,21,,,€3.10m,10,1,0,1,{}
Edmund Baidoo,Edmund Baidoo,Edmund BaidooRight Winger,Unknown club,€3.00m,https://www.transfermarkt.com/edmund-baidoo/profil/spieler/1236853,Right Winger,18,,,€3.00m,10,3,0,3,{}
Gabriel Carvalho,Gabriel Carvalho,Gabriel CarvalhoAttacking Midfield,Unknown club,€3.00m,https://www.transfermarkt.com/gabriel-carvalho/profil/spieler/1089144,Attacking Midfield,17,,,€3.00m,0,0,0,0,{}
Honest Ahanor,Honest Ahanor,Honest AhanorLeft-Back,Unknown club,€3.00m,https://www.transfermarkt.com/honest-ahanor/profil/spieler/1077175,Left-Back,16,,,€3.00m,4,1,0,0,{}
Javi Rodríguez,Javi Rodríguez,Javi RodríguezCentre-Back,Unknown club,€3.00m,https://www.transfermarkt.com/javi-rodriguez/profil/spieler/1076815,Centre-Back,21,,,€3.00m,13,1,0,1,{}
Pontus Dahbo,Pontus Dahbo,Pontus DahboAttacking Midfield,Unknown club,€3.00m,https://www.transfermarkt.com/pontus-dahbo/profil/spieler/1065043,Attacking Midfield,19,,,€3.00m,5,0,0,1,{}
Mahamadou Diawara,Mahamadou Diawara,Mahamadou DiawaraCentral Midfield,Unknown club,€3.00m,https://www.transfermarkt.com/mahamadou-diawara/profil/spieler/1053147,Central Midfield,19,,,€3.00m,6,0,0,0,{}
Yaya Fofana,Yaya Fofana,Yaya FofanaCentral Midfield,Unknown club,€3.00m,https://www.transfermarkt.com/yaya-fofana/profil/spieler/1044893,Central Midfield,20,,,€3.00m,10,1,0,1,{}
Rubén Lezcano,Rubén Lezcano,Rubén LezcanoAttacking Midfield,Unknown club,€3.00m,https://www.transfermarkt.com/ruben-lezcano/profil/spieler/1039533,Attacking Midfield,20,,,€3.00m,0,0,0,0,{}
